id,name,metabolites,lower_bound,upper_bound,gene_reaction_rule,subsystem,notes,annotation
CSm,Citrate synthase,"{'accoa_m': -1.0, 'cit_m': 1.0, 'coa_m': 1.0, 'h2o_m': -1.0, 'h_m': 1.0, 'oaa_m': -1.0}",0.0,1000.0,1431_AT1 or 1431_AT2,Citric acid cycle,"OrderedDict([('original_bigg_ids', ['CSm'])])","OrderedDict([('bigg.reaction', ['CSm']), ('biocyc', ['META:CITSYN-RXN', 'META:RXN-14905']), ('ec-code', ['2.3.3.16', '2.3.3.1', '2.3.3.3']), ('kegg.reaction', ['R00351']), ('metanetx.reaction', ['MNXR96920']), ('reactome.reaction', ['R-GGA-373006', 'R-GGA-70975', 'R-CEL-70975', 'R-HSA-70975', 'R-DRE-70975', 'R-MMU-70975', 'R-ATH-70975', 'R-SPO-70975', 'R-OSA-70975', 'R-SCE-70975', 'R-SSC-70975', 'R-DDI-70975', 'R-RNO-70975', 'R-DME-70975', 'R-PFA-70975', 'R-XTR-70975', 'R-CFA-70975', 'R-BTA-70975']), ('rhea', ['16847', '16846', '16845', '16848']), ('sabiork', ['267']), ('sbo', 'SBO:0000176'), ('seed.reaction', ['rxn00256'])])"
ACONTm,Aconitate hydratase,"{'cit_m': -1.0, 'icit_m': 1.0}",-1000.0,1000.0,50_AT1 or 48_AT1,Citric acid cycle,"OrderedDict([('original_bigg_ids', ['ACONTm'])])","OrderedDict([('bigg.reaction', ['ACONTm']), ('ec-code', ['4.2.1.3']), ('kegg.reaction', ['R01324']), ('metanetx.reaction', ['MNXR95384']), ('rhea', ['10339', '10336', '10337', '10338']), ('sabiork', ['272']), ('sbo', 'SBO:0000176'), ('seed.reaction', ['rxn00973'])])"
ICDHxm,Isocitrate dehydrogenase  NAD ,"{'akg_m': 1.0, 'co2_m': 1.0, 'icit_m': -1.0, 'nad_m': -1.0, 'nadh_m': 1.0}",0.0,1000.0,(3421_AT2 and 3420_AT3 and 3419_AT1) or (3420_AT1 and 3421_AT1 and 3419_AT1) or (3420_AT1 and 3421_AT1 and 3419_AT1) or (3420_AT3 and 3421_AT1 and 3419_AT1) or (3421_AT1 and 3419_AT1 and 3420_AT2) or (3421_AT2 and 3419_AT1 and 3420_AT2),Citric acid cycle,"OrderedDict([('original_bigg_ids', ['ICDHxm'])])","OrderedDict([('bigg.reaction', ['ICDHxm']), ('ec-code', ['1.1.1.286', '1.1.1.41']), ('kegg.reaction', ['R00709']), ('metanetx.reaction', ['MNXR100782']), ('sabiork', ['270']), ('sbo', 'SBO:0000176'), ('seed.reaction', ['rxn00505'])])"
AKGDm,2-oxoglutarate dehydrogenase,"{'akg_m': -1.0, 'co2_m': 1.0, 'coa_m': -1.0, 'nad_m': -1.0, 'nadh_m': 1.0, 'succoa_m': 1.0}",0.0,1000.0,(4967_AT2 and 1738_AT1 and 8050_AT1 and 1743_AT1) or (4967_AT1 and 1738_AT1 and 8050_AT1 and 1743_AT1),Citric acid cycle,"OrderedDict([('original_bigg_ids', ['AKGDm'])])","OrderedDict([('bigg.reaction', ['AKGDm']), ('biocyc', ['META:2OXOGLUTARATEDEH-RXN']), ('ec-code', ['1.2.1.52', '2.3.1.61', '1.8.1.4', '1.2.4.2']), ('kegg.reaction', ['R08549']), ('metanetx.reaction', ['MNXR95655']), ('reactome.reaction', ['R-PFA-71401', 'R-XTR-71401', 'R-SCE-71401', 'R-SSC-71401', 'R-TGU-71401', 'R-ATH-71401', 'R-OSA-71401', 'R-SPO-71401', 'R-CEL-71401', 'R-RNO-71401', 'R-DRE-71401', 'R-GGA-373042', 'R-DDI-71401', 'R-CFA-71401', 'R-HSA-71401', 'R-BTA-71401', 'R-DME-71401', 'R-MMU-71401', 'R-GGA-71401']), ('rhea', ['27789', '27788', '27786', '27787']), ('sabiork', ['8163']), ('sbo', 'SBO:0000176'), ('seed.reaction', ['rxn08094'])])"
SUCOASm,Succinate  CoA ligase  ADP forming ,"{'adp_m': 1.0, 'atp_m': -1.0, 'coa_m': -1.0, 'pi_m': 1.0, 'succ_m': -1.0, 'succoa_m': 1.0}",-1000.0,1000.0,8802_AT1 and 8803_AT1,Citric acid cycle,"OrderedDict([('original_bigg_ids', ['SUCOASm'])])","OrderedDict([('bigg.reaction', ['SUCOASm']), ('biocyc', ['META:SUCCCOASYN-RXN']), ('ec-code', ['6.2.1.5']), ('kegg.reaction', ['R00405']), ('metanetx.reaction', ['MNXR104635']), ('reactome.reaction', ['R-BTA-70997', 'R-GGA-372977', 'R-PFA-70997', 'R-GGA-373134', 'R-TGU-70997', 'R-XTR-70997', 'R-SSC-70997', 'R-HSA-70997', 'R-DRE-70997', 'R-SCE-70997', 'R-SPO-70997', 'R-DDI-70997', 'R-CFA-70997', 'R-OSA-70997', 'R-GGA-70997', 'R-RNO-70997', 'R-ATH-70997', 'R-MMU-70997']), ('rhea', ['17664', '17663', '17662', '17661']), ('sabiork', ['260']), ('sbo', 'SBO:0000176'), ('seed.reaction', ['rxn00285'])])"
SUCD1m,Succinate dehydrogenase,"{'fad_m': -1.0, 'fadh2_m': 1.0, 'fum_m': 1.0, 'succ_m': -1.0}",-1000.0,1000.0,6389_AT1 and 6392_AT1 and 6391_AT1 and 6390_AT1,Citric acid cycle,"OrderedDict([('original_bigg_ids', ['SUCD1m'])])","OrderedDict([('bigg.reaction', ['SUCD1m']), ('ec-code', ['1.3.5.1']), ('kegg.reaction', ['R00408']), ('metanetx.reaction', ['MNXR99636']), ('rhea', ['30345', '30344', '30346', '30343']), ('sabiork', ['865']), ('sbo', 'SBO:0000176'), ('seed.reaction', ['rxn00288'])])"
FUMm,Fumarase  mitochondrial,"{'fum_m': -1.0, 'h2o_m': -1.0, 'mal__L_m': 1.0}",-1000.0,1000.0,2271_AT1,Citric acid cycle,"OrderedDict([('original_bigg_ids', ['FUMm'])])","OrderedDict([('bigg.reaction', ['FUMm']), ('biocyc', ['META:FUMHYDR-RXN']), ('ec-code', ['4.2.1.2']), ('kegg.reaction', ['R01082']), ('metanetx.reaction', ['MNXR99705']), ('reactome.reaction', ['R-TGU-451033', 'R-TGU-70982', 'R-HSA-70982', 'R-ATH-451033', 'R-SPO-70982', 'R-SPO-451033', 'R-XTR-451033', 'R-MMU-70982', 'R-DRE-70982', 'R-DME-70982', 'R-DME-451033', 'R-HSA-451033', 'R-SCE-451033', 'R-DDI-451033', 'R-OSA-451033', 'R-CFA-70982', 'R-XTR-70982', 'R-MMU-451033', 'R-OSA-70982', 'R-BTA-70982', 'R-DRE-451033', 'R-GGA-373141', 'R-RNO-451033', 'R-CEL-451033', 'R-ATH-70982', 'R-GGA-373145', 'R-CEL-70982', 'R-BTA-451033', 'R-SSC-451033', 'R-SCE-70982', 'R-CFA-451033', 'R-RNO-70982', 'R-GGA-70982', 'R-DDI-70982', 'R-GGA-451033', 'R-SSC-70982']), ('rhea', ['12463', '12461', '12462', '12460']), ('sabiork', ['256']), ('sbo', 'SBO:0000176'), ('seed.reaction', ['rxn00799'])])"
MDHm,Malate dehydrogenase  mitochondrial,"{'h_m': 1.0, 'mal__L_m': -1.0, 'nad_m': -1.0, 'nadh_m': 1.0, 'oaa_m': 1.0}",-1000.0,1000.0,4191_AT1 or 4190_AT1,Citric acid cycle,"OrderedDict([('original_bigg_ids', ['MDHm'])])","OrderedDict([('bigg.reaction', ['MDHm']), ('biocyc', ['META:MALATE-DEH-RXN']), ('ec-code', ['1.1.1.37', '1.1.1.299']), ('kegg.reaction', ['R00342']), ('metanetx.reaction', ['MNXR101439']), ('reactome.reaction', ['R-BTA-70979', 'R-BTA-198508', 'R-SCE-70979', 'R-GGA-70979', 'R-MMU-71783', 'R-RNO-71783', 'R-DDI-198508', 'R-CFA-71783', 'R-CFA-198508', 'R-ATH-70979', 'R-DME-198508', 'R-TGU-71783', 'R-HSA-71783', 'R-BTA-71783', 'R-DRE-198508', 'R-SPO-70979', 'R-GGA-71783', 'R-TGU-198508', 'R-GGA-372422', 'R-CEL-71783', 'R-XTR-70979', 'R-RNO-198508', 'R-MMU-70979', 'R-SPO-71783', 'R-ATH-71783', 'R-MMU-198508', 'R-DME-70979', 'R-TGU-70979', 'R-CEL-198508', 'R-DME-71783', 'R-DRE-70979', 'R-OSA-71783', 'R-SSC-198508', 'R-GGA-372855', 'R-SSC-70979', 'R-OSA-70979', 'R-GGA-373047', 'R-GGA-198508', 'R-SSC-71783', 'R-HSA-70979', 'R-CFA-70979', 'R-XTR-71783', 'R-HSA-198508', 'R-XTR-198508', 'R-SCE-71783', 'R-RNO-70979', 'R-DRE-71783', 'R-CEL-70979']), ('rhea', ['21432', '21433', '21434', '21435']), ('sabiork', ['113']), ('sbo', 'SBO:0000176'), ('seed.reaction', ['rxn00248'])])"
NADH2_u10mi,NADH2 u10mi,"{'h_i': 4.0, 'h_m': -5.0, 'nad_m': 1.0, 'nadh_m': -1.0, 'q10_m': -1.0, 'q10h2_m': 1.0}",0.0,1000.0,(4715_AT1 and 4720_AT1 and 4719_AT1 and 4700_AT1 and 55967_AT1 and 4709_AT1 and 4710_AT1 and 4726_AT1 and 4718_AT1 and 4696_AT1 and 4694_AT1 and 374291_AT1 and 4728_AT1 and 4712_AT2 and 4717_AT1 and 4705_AT1 and 4725_AT1 and 4716_AT1 and 4537_AT1 and 7991_AT1 and 4722_AT1 and 4541_AT1 and 4539_AT1 and 4707_AT1 and 4701_AT1 and 4723_AT1 and 4698_AT1 and 4538_AT1 and 4697_AT1 and 51079_AT1 and 4714_AT1 and 4704_AT1 and 126328_AT1 and 4711_AT1 and 4724_AT1 and 4713_AT1 and 4536_AT1 and 4695_AT1 and 4702_AT1 and 4708_AT1 and 4535_AT1 and 4731_AT2 and 4706_AT1 and 4729_AT1 and 4540_AT1) or (4715_AT1 and 4720_AT1 and 4719_AT1 and 55967_AT1 and 4700_AT1 and 4709_AT1 and 4710_AT1 and 4726_AT1 and 4696_AT1 and 4718_AT1 and 4694_AT1 and 374291_AT1 and 4728_AT1 and 7991_AT2 and 4717_AT1 and 4731_AT1 and 4705_AT1 and 4725_AT1 and 4716_AT1 and 4537_AT1 and 4722_AT1 and 4541_AT1 and 4712_AT1 and 4539_AT1 and 4707_AT1 and 4701_AT1 and 4698_AT1 and 4723_AT1 and 4538_AT1 and 4697_AT1 and 51079_AT1 and 4714_AT1 and 4704_AT1 and 126328_AT1 and 4711_AT1 and 4724_AT1 and 4536_AT1 and 4713_AT1 and 4695_AT1 and 4702_AT1 and 4708_AT1 and 4706_AT1 and 4535_AT1 and 4540_AT1 and 4729_AT1) or (4715_AT1 and 4720_AT1 and 4719_AT1 and 55967_AT1 and 4700_AT1 and 4709_AT1 and 4710_AT1 and 4726_AT1 and 4718_AT1 and 4696_AT1 and 374291_AT1 and 4694_AT1 and 4728_AT1 and 7991_AT2 and 4712_AT2 and 4717_AT1 and 4705_AT1 and 4725_AT1 and 4716_AT1 and 4537_AT1 and 4722_AT1 and 4541_AT1 and 4539_AT1 and 4707_AT1 and 4701_AT1 and 4698_AT1 and 4723_AT1 and 4538_AT1 and 4697_AT1 and 51079_AT1 and 4714_AT1 and 4704_AT1 and 4711_AT1 and 126328_AT1 and 4724_AT1 and 4536_AT1 and 4713_AT1 and 4695_AT1 and 4702_AT1 and 4708_AT1 and 4731_AT2 and 4706_AT1 and 4535_AT1 and 4540_AT1 and 4729_AT1) or (4715_AT1 and 4720_AT1 and 4719_AT1 and 4700_AT1 and 55967_AT1 and 4709_AT1 and 4710_AT1 and 4726_AT1 and 4718_AT1 and 4696_AT1 and 374291_AT1 and 4694_AT1 and 4728_AT1 and 4717_AT1 and 4705_AT1 and 4725_AT1 and 4537_AT1 and 4716_AT1 and 4722_AT1 and 7991_AT1 and 4541_AT1 and 4712_AT1 and 4539_AT1 and 4707_AT1 and 4701_AT1 and 4723_AT1 and 4698_AT1 and 4538_AT1 and 4697_AT1 and 51079_AT1 and 4714_AT1 and 4704_AT1 and 4711_AT1 and 126328_AT1 and 4724_AT1 and 4713_AT1 and 4536_AT1 and 4695_AT1 and 4702_AT1 and 4708_AT1 and 4706_AT1 and 4535_AT1 and 4731_AT2 and 4729_AT1 and 4540_AT1) or (4715_AT1 and 4720_AT1 and 4719_AT1 and 55967_AT1 and 4700_AT1 and 4709_AT1 and 4710_AT1 and 4726_AT1 and 4696_AT1 and 4718_AT1 and 4694_AT1 and 374291_AT1 and 4728_AT1 and 4717_AT1 and 4731_AT1 and 4705_AT1 and 4725_AT1 and 4716_AT1 and 4537_AT1 and 4722_AT1 and 7991_AT1 and 4541_AT1 and 4539_AT1 and 4712_AT1 and 4707_AT1 and 4701_AT1 and 4723_AT1 and 4698_AT1 and 4538_AT1 and 4697_AT1 and 51079_AT1 and 4714_AT1 and 4704_AT1 and 126328_AT1 and 4711_AT1 and 4724_AT1 and 4713_AT1 and 4536_AT1 and 4695_AT1 and 4702_AT1 and 4708_AT1 and 4706_AT1 and 4535_AT1 and 4540_AT1 and 4729_AT1) or (4715_AT1 and 4720_AT1 and 4719_AT1 and 55967_AT1 and 4700_AT1 and 4709_AT1 and 4710_AT1 and 4726_AT1 and 4696_AT1 and 4718_AT1 and 374291_AT1 and 4694_AT1 and 4728_AT1 and 4712_AT2 and 4717_AT1 and 4731_AT1 and 4705_AT1 and 4725_AT1 and 4537_AT1 and 4716_AT1 and 4722_AT1 and 7991_AT1 and 4541_AT1 and 4539_AT1 and 4707_AT1 and 4701_AT1 and 4723_AT1 and 4698_AT1 and 4538_AT1 and 4697_AT1 and 51079_AT1 and 4714_AT1 and 4704_AT1 and 126328_AT1 and 4711_AT1 and 4724_AT1 and 4713_AT1 and 4536_AT1 and 4695_AT1 and 4702_AT1 and 4708_AT1 and 4535_AT1 and 4706_AT1 and 4729_AT1 and 4540_AT1) or (4715_AT1 and 4720_AT1 and 4719_AT1 and 4700_AT1 and 55967_AT1 and 4709_AT1 and 4710_AT1 and 4726_AT1 and 4718_AT1 and 4696_AT1 and 4694_AT1 and 374291_AT1 and 4728_AT1 and 7991_AT2 and 4717_AT1 and 4705_AT1 and 4725_AT1 and 4537_AT1 and 4716_AT1 and 4722_AT1 and 4541_AT1 and 4712_AT1 and 4539_AT1 and 4707_AT1 and 4701_AT1 and 4723_AT1 and 4698_AT1 and 4538_AT1 and 4697_AT1 and 51079_AT1 and 4714_AT1 and 4704_AT1 and 4711_AT1 and 126328_AT1 and 4724_AT1 and 4713_AT1 and 4536_AT1 and 4695_AT1 and 4702_AT1 and 4708_AT1 and 4535_AT1 and 4731_AT2 and 4706_AT1 and 4540_AT1 and 4729_AT1) or (4715_AT1 and 4720_AT1 and 4719_AT1 and 4700_AT1 and 55967_AT1 and 4709_AT1 and 4710_AT1 and 4726_AT1 and 4718_AT1 and 4696_AT1 and 374291_AT1 and 4694_AT1 and 4728_AT1 and 7991_AT2 and 4712_AT2 and 4717_AT1 and 4731_AT1 and 4705_AT1 and 4725_AT1 and 4537_AT1 and 4716_AT1 and 4722_AT1 and 4541_AT1 and 4539_AT1 and 4707_AT1 and 4701_AT1 and 4698_AT1 and 4723_AT1 and 4538_AT1 and 4697_AT1 and 51079_AT1 and 4714_AT1 and 4704_AT1 and 4711_AT1 and 126328_AT1 and 4724_AT1 and 4713_AT1 and 4536_AT1 and 4695_AT1 and 4702_AT1 and 4708_AT1 and 4706_AT1 and 4535_AT1 and 4540_AT1 and 4729_AT1 and 54539_AT1),Oxidative phosphorylation,"OrderedDict([('original_bigg_ids', ['NADH2_u10mi'])])","OrderedDict([('bigg.reaction', ['NADH2_u10mi']), ('sbo', 'SBO:0000185')])"
FADH2ETC,Complex II reaction for respiratory chain,"{'fad_m': 1.0, 'fadh2_m': -1.0, 'q10_m': -1.0, 'q10h2_m': 1.0}",0.0,1000.0,(2110_AT1 and 2109_AT1 and 2108_AT1) or (2109_AT2 and 2108_AT1),Oxidative phosphorylation,"OrderedDict([('original_bigg_ids', ['FADH2ETC'])])","OrderedDict([('bigg.reaction', ['FADH2ETC']), ('metanetx.reaction', ['MNXR99211']), ('sbo', 'SBO:0000176')])"
