id,name,charge,formula
amp,AMP C10H12N5O7P,-2,C10H12N5O7P
lac__L,L-Lactate,-1,C3H5O3
hco3,Bicarbonate,-1,CHO3
pyr,Pyruvate,-1,C3H3O3
oaa,Oxaloacetate,-2,C4H2O5
gtp,GTP C10H12N5O14P3,-4,C10H12N5O14P3
gdp,GDP C10H12N5O11P2,-3,C10H12N5O11P2
co2,CO2 CO2,0,CO2
pep,Phosphoenolpyruvate,-3,C3H2O6P
2pg,D-Glycerate 2-phosphate,-3,C3H4O7P
3pg,3-Phospho-D-glycerate,-3,C3H4O7P
nadh,Nicotinamide adenine dinucleotide - reduced,-2,C21H27N7O14P2
nad,Nicotinamide adenine dinucleotide,-1,C21H26N7O14P2
13dpg,3-Phospho-D-glyceroyl phosphate,-4,C3H4O10P2
g3p,Glyceraldehyde 3-phosphate,-2,C3H5O6P
dhap,Dihydroxyacetone phosphate,-2,C3H5O6P
pi,Phosphate,0,HO4P
h2o,H2O H2O,0,H2O
fdp,"D-Fructose 1,6-bisphosphate",-4,C6H10O12P2
f6p,D-Fructose 6-phosphate,-2,C6H11O9P
h,H+,0,H
glc__D,D-Glucose,0,C6H12O6
g6p,D-Glucose 6-phosphate,-2,C6H11O9P
atp,ATP C10H12N5O13P3,-4,C10H12N5O13P3
adp,ADP C10H12N5O10P2,-3,C10H12N5O10P2
