id,name,metabolites,lower_bound,upper_bound,gene_reaction_rule,subsystem,notes,annotation
HEX1,Hexokinase (D-glucose:ATP),"{'adp_c': 1.0, 'atp_c': -1.0, 'g6p_c': 1.0, 'glc__D_c': -1.0, 'h_c': 1.0}",0.0,1000.0,3098_AT3 or 80201_AT1 or 2645_AT3 or 3098_AT4 or 3099_AT1 or 2645_AT2 or 3098_AT5 or 2645_AT1 or 3098_AT1 or 3101_AT1 or 3098_AT2,Glycolysis/gluconeogenesis,"OrderedDict([('original_bigg_ids', ['HEX1'])])","OrderedDict([('bigg.reaction', ['HEX1']), ('biocyc', ['META:GLUCOKIN-RXN']), ('ec-code', ['2.7.1.1', '2.7.1.2']), ('kegg.reaction', ['R00299']), ('metanetx.reaction', ['MNXR100612']), ('rhea', ['17827', '17828', '17826', '17825']), ('sabiork', ['9175', '793', '6915']), ('sbo', 'SBO:0000176'), ('seed.reaction', ['rxn00216'])])"
PGI,Glucose-6-phosphate isomerase,"{'f6p_c': 1.0, 'g6p_c': -1.0}",-1000.0,1000.0,2821_AT1,Glycolysis/gluconeogenesis,"OrderedDict([('original_bigg_ids', ['PGI'])])","OrderedDict([('bigg.reaction', ['PGI']), ('biocyc', ['META:PGLUCISOM-RXN']), ('ec-code', ['5.3.1.9']), ('metanetx.reaction', ['MNXR102535']), ('sbo', 'SBO:0000176')])"
FBP,Fructose-bisphosphatase,"{'f6p_c': 1.0, 'fdp_c': -1.0, 'h2o_c': -1.0, 'pi_c': 1.0}",0.0,1000.0,2203_AT1 or 8789_AT1,Glycolysis/gluconeogenesis,"OrderedDict([('original_bigg_ids', ['FBP'])])","OrderedDict([('bigg.reaction', ['FBP']), ('ec-code', ['3.1.3.11']), ('metanetx.reaction', ['MNXR99465']), ('rhea', ['11067', '11065', '11066', '11064']), ('sabiork', ['2084']), ('sbo', 'SBO:0000176')])"
PFK,Phosphofructokinase,"{'adp_c': 1.0, 'atp_c': -1.0, 'f6p_c': -1.0, 'fdp_c': 1.0, 'h_c': 1.0}",0.0,1000.0,5214_AT1 or 5211_AT2 or (5214_AT1 and 5211_AT1) or (5214_AT1 and 5213_AT1) or 5213_AT1 or (5214_AT1 and 5211_AT2) or 5211_AT1 or (5211_AT1 and 5213_AT1) or (5213_AT1 and 5211_AT2),Glycolysis/gluconeogenesis,"OrderedDict([('original_bigg_ids', ['PFK'])])","OrderedDict([('bigg.reaction', ['PFK']), ('ec-code', ['2.7.1.11']), ('metanetx.reaction', ['MNXR102507']), ('rhea', ['16111', '16109', '16110', '16112']), ('sbo', 'SBO:0000176')])"
FBA,Fructose-bisphosphate aldolase,"{'dhap_c': 1.0, 'fdp_c': -1.0, 'g3p_c': 1.0}",-1000.0,1000.0,226_AT2 or 226_AT1 or 226_AT3 or 230_AT1 or 229_AT1,Glycolysis/gluconeogenesis,"OrderedDict([('original_bigg_ids', ['FBA'])])","OrderedDict([('bigg.reaction', ['FBA']), ('ec-code', ['4.1.2.13']), ('kegg.reaction', ['R01068']), ('metanetx.reaction', ['MNXR99459']), ('rhea', ['14729', '14732', '14731', '14730']), ('sabiork', ['1338']), ('sbo', 'SBO:0000176'), ('seed.reaction', ['rxn00786'])])"
TPI,Triose-phosphate isomerase,"{'dhap_c': -1.0, 'g3p_c': 1.0}",-1000.0,1000.0,7167_AT1 or 286016_AT1,Glycolysis/gluconeogenesis,"OrderedDict([('original_bigg_ids', ['TPI'])])","OrderedDict([('bigg.reaction', ['TPI']), ('biocyc', ['META:TRIOSEPISOMERIZATION-RXN']), ('ec-code', ['5.3.1.1']), ('kegg.reaction', ['R01015']), ('metanetx.reaction', ['MNXR104918']), ('reactome.reaction', ['R-RNO-70481', 'R-MMU-70481', 'R-XTR-70481', 'R-SSC-70481', 'R-GGA-352927', 'R-SCE-70454', 'R-CEL-70481', 'R-PFA-70454', 'R-XTR-70454', 'R-BTA-70481', 'R-BTA-70454', 'R-GGA-352914', 'R-ATH-70481', 'R-CFA-70454', 'R-OSA-70454', 'R-HSA-70481', 'R-DRE-70454', 'R-DME-70481', 'R-OSA-70481', 'R-DRE-70481', 'R-ATH-70454', 'R-HSA-70454', 'R-SSC-70454', 'R-DDI-70454', 'R-SCE-70481', 'R-CFA-70481', 'R-PFA-70481', 'R-DDI-70481', 'R-SPO-70454', 'R-SPO-70481', 'R-RNO-70454', 'R-MMU-70454', 'R-CEL-70454', 'R-GGA-70481', 'R-GGA-70454', 'R-DME-70454']), ('rhea', ['18587', '18588', '18586', '18585']), ('sabiork', ['4']), ('sbo', 'SBO:0000176'), ('seed.reaction', ['rxn00747'])])"
GAPD,Glyceraldehyde-3-phosphate dehydrogenase,"{'13dpg_c': 1.0, 'g3p_c': -1.0, 'h_c': 1.0, 'nad_c': -1.0, 'nadh_c': 1.0, 'pi_c': -1.0}",-1000.0,1000.0,2597_AT1 or 26330_AT1,Glycolysis/gluconeogenesis,"OrderedDict([('original_bigg_ids', ['GAPD'])])","OrderedDict([('bigg.reaction', ['GAPD']), ('biocyc', ['META:GAPOXNPHOSPHN-RXN']), ('ec-code', ['1.2.1.12', '1.2.1.59']), ('kegg.reaction', ['R01061']), ('metanetx.reaction', ['MNXR100040']), ('reactome.reaction', ['R-ATH-70482', 'R-DME-70449', 'R-PFA-70482', 'R-SPO-70449', 'R-DRE-70449', 'R-CEL-70449', 'R-CEL-70482', 'R-CFA-70449', 'R-MMU-70482', 'R-HSA-70449', 'R-OSA-70482', 'R-GGA-352956', 'R-RNO-70449', 'R-SCE-70449', 'R-SSC-70482', 'R-ATH-70449', 'R-GGA-70482', 'R-OSA-70449', 'R-GGA-352921', 'R-DDI-70449', 'R-SPO-70482', 'R-TGU-70482', 'R-SCE-70482', 'R-HSA-70482', 'R-DME-70482', 'R-PFA-70449', 'R-XTR-70449', 'R-DRE-70482', 'R-XTR-70482', 'R-GGA-70449', 'R-RNO-70482', 'R-SSC-70449', 'R-DDI-70482', 'R-TGU-70449', 'R-MMU-70449', 'R-CFA-70482', 'R-BTA-70449', 'R-BTA-70482']), ('rhea', ['10303', '10300', '10302', '10301']), ('sabiork', ['7844']), ('sbo', 'SBO:0000176'), ('seed.reaction', ['rxn00781'])])"
PGK,Phosphoglycerate kinase,"{'13dpg_c': 1.0, '3pg_c': -1.0, 'adp_c': 1.0, 'atp_c': -1.0}",-1000.0,1000.0,5230_AT1 or 375056_AT1 or 5232_AT1,Glycolysis/gluconeogenesis,"OrderedDict([('original_bigg_ids', ['PGK'])])","OrderedDict([('bigg.reaction', ['PGK']), ('biocyc', ['META:PHOSGLYPHOS-RXN']), ('ec-code', ['2.7.2.3']), ('kegg.reaction', ['R01512']), ('metanetx.reaction', ['MNXR102538']), ('reactome.reaction', ['R-ATH-71850', 'R-DME-71850', 'R-GGA-71850', 'R-SPO-71850', 'R-OSA-71850', 'R-GGA-353039', 'R-GGA-353023', 'R-BTA-71850', 'R-CFA-70486', 'R-MMU-71850', 'R-DME-70486', 'R-PFA-71850', 'R-SPO-70486', 'R-SCE-70486', 'R-PFA-70486', 'R-SSC-70486', 'R-ATH-70486', 'R-DRE-70486', 'R-HSA-70486', 'R-OSA-70486', 'R-XTR-71850', 'R-MMU-70486', 'R-RNO-70486', 'R-TGU-70486', 'R-DRE-71850', 'R-SSC-71850', 'R-SCE-71850', 'R-CFA-71850', 'R-XTR-70486', 'R-DDI-70486', 'R-DDI-71850', 'R-RNO-71850', 'R-BTA-70486', 'R-CEL-70486', 'R-HSA-71850', 'R-CEL-71850', 'R-GGA-70486', 'R-TGU-71850']), ('rhea', ['14801', '14804', '14802', '14803']), ('sabiork', ['7644']), ('sbo', 'SBO:0000176'), ('seed.reaction', ['rxn01100'])])"
PGM,Phosphoglycerate mutase,"{'2pg_c': -1.0, '3pg_c': 1.0}",-1000.0,1000.0,669_AT1 or 5223_AT1 or 5224_AT2 or 5224_AT1 or 669_AT2,Glycolysis/gluconeogenesis,"OrderedDict([('original_bigg_ids', ['PGM'])])","OrderedDict([('bigg.reaction', ['PGM']), ('biocyc', ['META:3PGAREARR-RXN', 'META:RXN-15513']), ('ec-code', ['5.4.2.1', '5.4.2.11', '5.4.2.12']), ('kegg.reaction', ['R01518']), ('metanetx.reaction', ['MNXR102547']), ('reactome.reaction', ['R-XTR-71654', 'R-SSC-71654', 'R-DME-71445', 'R-XTR-71445', 'R-RNO-71445', 'R-GGA-71654', 'R-SSC-71445', 'R-GGA-71445', 'R-DDI-71654', 'R-SPO-71654', 'R-MMU-71445', 'R-BTA-71445', 'R-CFA-71445', 'R-PFA-71445', 'R-GGA-352994', 'R-TGU-71654', 'R-SPO-71445', 'R-HSA-71445', 'R-ATH-71654', 'R-MMU-71654', 'R-BTA-71654', 'R-GGA-353014', 'R-DRE-71654', 'R-HSA-71654', 'R-CFA-71654', 'R-OSA-71654', 'R-DDI-71445', 'R-RNO-71654', 'R-DRE-71445', 'R-OSA-71445', 'R-PFA-71654', 'R-DME-71654', 'R-TGU-71445', 'R-SCE-71445', 'R-ATH-71445', 'R-SCE-71654']), ('rhea', ['15902', '15903', '15901', '15904']), ('sabiork', ['7641']), ('sbo', 'SBO:0000176'), ('seed.reaction', ['rxn01106'])])"
ENO,Enolase,"{'2pg_c': -1.0, 'h2o_c': 1.0, 'pep_c': 1.0}",-1000.0,1000.0,2023_AT1 or 2027_AT1 or 2027_AT2 or 2026_AT1,Glycolysis/gluconeogenesis,"OrderedDict([('original_bigg_ids', ['ENO'])])","OrderedDict([('bigg.reaction', ['ENO']), ('biocyc', ['META:2PGADEHYDRAT-RXN']), ('ec-code', ['4.2.1.11']), ('kegg.reaction', ['R00658']), ('metanetx.reaction', ['MNXR97932']), ('reactome.reaction', ['R-BTA-71660', 'R-RNO-70494', 'R-TGU-71660', 'R-SSC-71660', 'R-GGA-352981', 'R-DME-70494', 'R-CFA-70494', 'R-OSA-70494', 'R-SCE-71660', 'R-GGA-353044', 'R-CFA-71660', 'R-GGA-70494', 'R-PFA-71660', 'R-SPO-71660', 'R-SPO-70494', 'R-DDI-70494', 'R-RNO-71660', 'R-MMU-70494', 'R-ATH-70494', 'R-SCE-70494', 'R-SSC-70494', 'R-HSA-70494', 'R-DME-71660', 'R-CEL-71660', 'R-HSA-71660', 'R-TGU-70494', 'R-XTR-71660', 'R-DRE-70494', 'R-DRE-71660', 'R-MMU-71660', 'R-ATH-71660', 'R-BTA-70494', 'R-CEL-70494', 'R-XTR-70494', 'R-DDI-71660', 'R-OSA-71660', 'R-PFA-70494', 'R-GGA-71660']), ('rhea', ['10166', '10165', '10164', '10167']), ('sabiork', ['8']), ('sbo', 'SBO:0000176'), ('seed.reaction', ['rxn00459'])])"
PYK,Pyruvate kinase,"{'adp_c': -1.0, 'atp_c': 1.0, 'h_c': -1.0, 'pep_c': -1.0, 'pyr_c': 1.0}",0.0,1000.0,5315_AT2 or 5313_AT2 or 5315_AT3 or 5313_AT1 or 5315_AT1,Glycolysis/gluconeogenesis,"OrderedDict([('original_bigg_ids', ['PYK'])])","OrderedDict([('bigg.reaction', ['PYK']), ('biocyc', ['META:PEPDEPHOS-RXN']), ('ec-code', ['2.7.1.40']), ('kegg.reaction', ['R00200']), ('metanetx.reaction', ['MNXR103371']), ('reactome.reaction', ['R-SSC-71670', 'R-GGA-353056', 'R-DRE-71670', 'R-OSA-71670', 'R-SPO-71670', 'R-DDI-71670', 'R-SCE-71670', 'R-CEL-71670', 'R-PFA-71670', 'R-HSA-71670', 'R-TGU-71670', 'R-DME-71670', 'R-ATH-71670', 'R-BTA-71670', 'R-MMU-71670', 'R-RNO-71670', 'R-GGA-71670', 'R-CFA-71670', 'R-XTR-71670']), ('rhea', ['18160', '18159', '18158', '18157']), ('sabiork', ['9']), ('sbo', 'SBO:0000176'), ('seed.reaction', ['rxn00148'])])"
