id,name,charge,formula,compartment
adp_c,ADP,-3,C10H12N5O10P2,c
atp_c,ATP,-4,C10H12N5O13P3,c
g6p_c,D-Glucose 6-phosphate,-2,C6H11O9P,c
glc__D_c,D-Glucose,0,C6H12O6,c
h_c,H+,1,H,c
f6p_c,D-Fructose 6-phosphate,-2,C6H11O9P,c
fdp_c,"D-Fructose 1,6-bisphosphate",-4,C6H10O12P2,c
dhap_c,Dihydroxyacetone phosphate,-2,C3H5O6P,c
g3p_c,Glyceraldehyde 3-phosphate,-2,C3H5O6P,c
_13dpg_c,3-Phospho-D-glyceroyl phosphate,-4,C3H4O10P2,c
nad_c,Nicotinamide adenine dinucleotide,-1,[NAD]-C21H26N7O14P2,c
nadh_c,Nicotinamide adenine dinucleotide - reduced,-2,[NAD]-C21H27N7O14P2,c
pi_c,Phosphate,-2,HPO4,c
_3pg_c,3-Phospho-D-glycerate,-3,C3H4O7P,c
_2pg_c,D-Glycerate 2-phosphate,-3,C3H4O7P,c
h2o_c,H2O,0,H2O,c
pep_c,Phosphoenolpyruvate,-3,C3H2O6P,c
pyr_c,Pyruvate,-1,C3H3O3,c
lac__L_c,L-Lactate,-1,C3H5O3,c
amp_c,AMP,-2,C10H12N5O7P,c
