RXN,OG,No.160,No.553,No.1092,No.1094,No.1364
kf_HEX1,0.7000072543398843,1.2743074395007838,5.419054211391139,1.256171654538207,1.2264678926161472,3.694992195538541
kf_PGI,2961.1111111111486,25.394712301824367,5.422446719238439,11.970507815957038,11.745847655879798,7.7656930502506905
kf_PFK,33.158234763561914,210.79856060289126,232.42854578420986,154.11345061303203,208.85642603395806,506.0639803342161
kf_FBA,2657.4074074074147,221.13707540729177,206.17049898564315,111.51543117405619,118.12547925414115,181.3140881105363
kf_TPI,32.20849455462126,12.543198856847726,12.402026728035668,12.108429261121755,12.188368075568725,12.195084135943373
kf_GAPD,3271.2258283587985,126533.0067737327,10050.535038860458,11746.808994503781,2408.4503494985106,33342.38939316691
kf_PGK,1233733.417561599,21668.306808015095,31927.764246886192,50779.16155012824,21311.553343828193,34135.433367462
kf_PGM,4716.445883651776,26.71086784465274,42.279404472477616,38.16785620670525,37.16343417056684,37.46128216011566
kf_ENO,1708.6236339749785,678.6367398418236,3028.0738521243666,2136.876463058071,711.113566387761,9003.727242689669
kf_PYK,440.1860034141379,585.5017810891958,423.5556403379543,1641.7509714288578,980.1323835776642,812.3773821467836
kf_LDH_L,1073.942947331851,459.9709402656431,167.98716916028246,216.5502007207539,286.50752237516195,312.0189754443332
kf_ADK1,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
kf_ATPM,1.35625,2.9807563525946272,2.3768367855169443,3.5824011538876603,2.9082333982358937,5.277442459721193
kf_DM_nadh,7.441860465116281,5.137762063068065,2.1773087547678807,2.388338403661178,2.6696083238319415,4.27982387672068
kf_G6PDH2r,21864.58924871119,75095.79780970773,7471.852648914087,12605.507351903321,6761.926452646454,14134.729764781072
kf_PGL,122.32311160638378,129.98681963505408,448.1656072147697,211.53419296856612,167.1215178454178,207.05075212975416
kf_GND,29287.807473559442,122513.1355644065,40620.754589063225,12305.390487208846,3638.5716332545157,40659.08740785441
kf_RPE,16048.910966755393,8.69220211335515,10.920252002493749,7.176769518184475,6.409999865515493,10.432409417163292
kf_RPI,9645.957437681867,4.990640933072418,6.144666468584324,4.639490689404794,4.569082519966439,5.369292943837313
kf_TKT1,1675.7495732815028,1448.7764146176662,2155.7764338913616,1114.2722606662744,865.7757397809598,1531.4300868646133
kf_TKT2,1146.8587570545874,11020.69846312543,4133.586129730285,5904.859120637446,2241.309676470314,3107.0990207493246
kf_TALA,886.8469449136287,1795.9369148424826,3980.7266358160055,2004.5699484552042,1601.2633412459786,2269.334441715976
kf_GTHOr,53.32981187273982,51.32287938500095,6.804448167320632,29.24160673837874,9.229233306657012,17.79775959687746
kf_GSHR,0.04125736738703339,0.4788572397415396,0.11735525326524768,0.6028460185990435,0.4314387535592196,0.2668074830552601
