,0,1,2,3,4,Norm0,Norm1,Norm2,Norm3,Norm4
HEX1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PGI,-0.25,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
FBP,0.25,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
PFK,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
FBA,-0.25,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
TPI,-0.25,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
GAPD,-0.5,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0
PGK,0.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
PGM,0.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
ENO,-0.5,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0
LDH_L,0.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
ADK1,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,-1.0
ATPM,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NADHM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G6PP,0.25,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
PYC,0.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
EX_glc__D_c,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
EX_h2o_c,-1.0,-1.0,-1.0,-1.0,0.0,-4.0,-1.0,-1.0,-1.0,0.0
EX_h_c,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
EX_pi_c,1.0,1.0,1.0,1.0,0.0,4.0,1.0,1.0,1.0,0.0
EX_lac__L_c,-0.5,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0
EX_amp_c,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0
EX_atp_c,-0.5,-1.0,-1.0,-1.0,0.5,-2.0,-1.0,-1.0,-1.0,1.0
EX_adp_c,0.5,1.0,1.0,1.0,-1.0,2.0,1.0,1.0,1.0,-2.0
EX_hco3_c,-0.5,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0
EX_co2_c,0.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
