,0,1,2,Norm0,Norm1,Norm2
HEX1,0.5,0.08333333333333333,0.33333333333333337,1.0,1.0,1.0
PGI,0.5,-0.16666666666666666,0.33333333333333337,1.0,-2.0,1.0
FBP,0.0,0.0,0.6666666666666667,0.0,0.0,2.0
PFK,0.5,0.0,1.0,1.0,0.0,2.9999999999999996
FBA,0.5,0.0,0.33333333333333337,1.0,0.0,1.0
TPI,0.5,0.0,0.33333333333333337,1.0,0.0,1.0
GAPD,1.0,0.08333333333333333,0.6666666666666667,2.0,1.0,2.0
PGK,-1.0,-0.08333333333333333,-0.6666666666666667,-2.0,-1.0,-2.0
PGM,-1.0,-0.08333333333333333,-0.6666666666666667,-2.0,-1.0,-2.0
ENO,1.0,0.08333333333333333,0.6666666666666667,2.0,1.0,2.0
PYK,1.0,0.08333333333333333,0.6666666666666667,2.0,1.0,2.0
LDH_L,-1.0,-0.08333333333333333,-0.6666666666666667,-2.0,-1.0,-2.0
ADK1,0.0,0.0,0.0,0.0,0.0,0.0
ATPM,1.0,0.08333333333333333,0.0,2.0,1.0,0.0
G6PDH2r,0.0,0.25,0.0,0.0,3.0,0.0
TALA,0.0,0.08333333333333333,0.0,0.0,1.0,0.0
PGL,0.0,0.25,0.0,0.0,3.0,0.0
GND,0.0,0.25,0.0,0.0,3.0,0.0
RPE,0.0,0.16666666666666666,0.0,0.0,2.0,0.0
RPI,0.0,-0.08333333333333333,0.0,0.0,-1.0,0.0
TKT1,0.0,0.08333333333333333,0.0,0.0,1.0,0.0
TKT2,0.0,0.08333333333333333,0.0,0.0,1.0,0.0
GTHOr,0.0,0.5,0.0,0.0,6.0,0.0
GTHPi,0.0,0.5,0.0,0.0,6.0,0.0
SPODM,0.0,0.5,0.0,0.0,6.0,0.0
EX_glc__D_c,-0.5,-0.08333333333333333,-0.33333333333333337,-1.0,-1.0,-1.0
EX_h2o_c,0.0,0.75,0.0,0.0,9.0,0.0
EX_h_c,1.0,-0.9166666666666666,0.6666666666666667,2.0,-11.0,2.0
EX_pi_c,0.0,0.0,0.0,0.0,0.0,0.0
EX_lac__L_c,1.0,0.08333333333333333,0.6666666666666667,2.0,1.0,2.0
EX_amp_c,0.0,0.0,0.0,0.0,0.0,0.0
EX_co2_c,0.0,0.25,0.0,0.0,3.0,0.0
EX_o2_c,0.0,0.5,0.0,0.0,6.0,0.0
EX_o2s_c,0.0,-1.0,0.0,0.0,-12.0,0.0
