,0,1,2,3,4,5,6,7,Norm0,Norm1,Norm2,Norm3,Norm4,Norm5,Norm6,Norm7
NADH2_u10mi,0.379746835443038,0.0,0.3333333333333333,0.393939393939394,0.09090909090909091,0.0,0.0,0.0,90.0,0.0,10.0,10.000000000000002,9.999999999999998,0.0,0.0,0.0
FADH2ETC,0.0759493670886076,0.0,0.06666666666666667,0.07878787878787878,0.018181818181818184,0.0,0.0,0.0,18.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0
CYOR_u10mi,0.4556962025316456,0.0,0.39999999999999997,0.4727272727272727,0.1090909090909091,0.0,0.0,0.0,108.0,0.0,11.999999999999998,12.0,12.0,0.0,0.0,0.0
CYOOm2i,0.2278481012658228,0.0,0.19999999999999998,0.23636363636363636,0.05454545454545455,0.0,0.0,0.0,54.0,0.0,5.999999999999999,6.0,6.0,0.0,0.0,0.0
ATPS4mi,0.9282700421940929,0.0,0.7333333333333334,1.0,0.0,0.0,0.0,0.0,220.0,0.0,22.0,25.384615384615387,0.0,0.0,0.0,0.0
Htmi,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.99999999999999,0.0,0.0,0.0
CSm,0.0759493670886076,0.0,0.06666666666666667,0.07878787878787878,0.018181818181818184,0.0,0.0,0.0,18.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0
ACONTm,0.0759493670886076,0.0,0.06666666666666667,0.07878787878787878,0.018181818181818184,0.0,0.0,0.0,18.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0
ICDHxm,0.0759493670886076,0.0,0.06666666666666667,0.07878787878787878,0.018181818181818184,0.0,0.0,0.0,18.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0
AKGDm,0.0759493670886076,0.0,0.06666666666666667,0.07878787878787878,0.018181818181818184,0.0,0.0,0.0,18.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0
SUCOASm,-0.0759493670886076,0.0,-0.06666666666666667,-0.07878787878787878,-0.018181818181818184,0.0,0.0,0.0,-18.0,0.0,-2.0,-2.0,-2.0,0.0,0.0,0.0
SUCD1m,0.0759493670886076,0.0,0.06666666666666667,0.07878787878787878,0.018181818181818184,0.0,0.0,0.0,18.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0
FUMm,0.0759493670886076,0.0,0.06666666666666667,0.07878787878787878,0.018181818181818184,0.0,0.0,0.0,18.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0
MDHm,0.1518987341772152,0.0,0.13333333333333333,0.15757575757575756,0.03636363636363637,0.0,0.0,0.0,36.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0
PDHm,0.0759493670886076,0.0,0.06666666666666667,0.07878787878787878,0.018181818181818184,0.0,0.0,0.0,18.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0
PCm,0.23206751054852323,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,55.0,0.0,0.0,8.461538461538462,0.0,0.0,0.0,0.0
PEPCKm,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.461538461538462,0.0,0.0,0.0,0.0
FBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
MALtm,-0.23206751054852323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDH,-0.0759493670886076,0.0,-0.06666666666666667,-0.07878787878787878,-0.018181818181818184,0.0,0.0,0.0,-18.0,0.0,-2.0,-2.0,-2.0,0.0,0.0,0.0
PEPCK_re,0.23206751054852323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCO3Em,0.23206751054852323,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,55.0,0.0,0.0,8.461538461538462,0.0,0.0,0.0,0.0
ATPtm,0.7721518987341772,0.0,0.7999999999999999,0.41212121212121205,0.018181818181818184,0.0,0.0,0.0,182.99999999999997,0.0,23.999999999999996,10.46153846153846,2.0,0.0,0.0,0.0
AKGMALtm,0.3080168776371308,0.0,0.06666666666666667,0.07878787878787878,0.018181818181818184,0.0,0.0,0.0,73.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0
ASPTA,0.3080168776371308,0.0,0.06666666666666667,0.07878787878787878,0.018181818181818184,0.0,0.0,0.0,73.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0
ASPTAm,-0.3080168776371308,0.0,-0.06666666666666667,-0.07878787878787878,-0.018181818181818184,0.0,0.0,0.0,-73.0,0.0,-2.0,-2.0,-2.0,0.0,0.0,0.0
PYRt2m,0.3080168776371308,0.0,0.06666666666666667,0.41212121212121205,0.018181818181818184,0.0,0.0,0.0,73.0,0.0,2.0,10.46153846153846,2.0,0.0,0.0,0.0
ASPGLUm,0.3080168776371308,0.0,0.06666666666666667,0.07878787878787878,0.018181818181818184,0.0,0.0,0.0,73.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0
O2tm,0.2278481012658228,0.0,0.19999999999999998,0.23636363636363636,0.05454545454545455,0.0,0.0,0.0,54.0,0.0,5.999999999999999,6.0,6.0,0.0,0.0,0.0
H2Otm,-1.0,0.0,-1.0,-0.9818181818181818,-0.07272727272727274,0.0,0.0,0.0,-236.99999999999997,0.0,-30.0,-24.923076923076923,-8.0,0.0,0.0,0.0
CO2tm,0.0042194092827004225,0.0,-0.19999999999999998,-0.23636363636363636,-0.05454545454545455,0.0,0.0,0.0,1.0,0.0,-5.999999999999999,-6.0,-6.0,0.0,0.0,0.0
NDPK1m,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.461538461538462,0.0,0.0,0.0,0.0
NDPK1,0.23206751054852323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATPM,0.8481012658227848,1.0,0.8666666666666666,0.8242424242424241,0.03636363636363637,0.0,0.0,0.0,200.99999999999997,2.0,25.999999999999996,20.92307692307692,4.0,0.0,0.0,0.0
HEX1,0.0379746835443038,0.5,0.03333333333333333,0.03939393939393939,0.009090909090909092,0.375,1.0,0.33333333333333337,9.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0
PGI,0.0379746835443038,0.5,0.03333333333333333,0.03939393939393939,0.009090909090909092,0.125,1.0,0.33333333333333337,9.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0
PFK,0.0379746835443038,0.5,0.03333333333333333,0.03939393939393939,0.009090909090909092,0.125,0.5,1.0,9.0,1.0,1.0,1.0,1.0,1.0,2.0,2.9999999999999996
FBA,0.0379746835443038,0.5,0.03333333333333333,0.03939393939393939,0.009090909090909092,0.125,0.5,0.33333333333333337,9.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
TPI,0.0379746835443038,0.5,0.03333333333333333,0.03939393939393939,0.009090909090909092,0.125,0.5,0.33333333333333337,9.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
GAPD,0.0759493670886076,1.0,0.06666666666666667,0.07878787878787878,0.018181818181818184,0.25,0.75,0.6666666666666667,18.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0
PGK,-0.0759493670886076,-1.0,-0.06666666666666667,-0.07878787878787878,-0.018181818181818184,-0.25,-0.75,-0.6666666666666667,-18.0,-2.0,-2.0,-2.0,-2.0,-2.0,-3.0,-2.0
PGM,-0.0759493670886076,-1.0,-0.06666666666666667,-0.07878787878787878,-0.018181818181818184,-0.25,-0.75,-0.6666666666666667,-18.0,-2.0,-2.0,-2.0,-2.0,-2.0,-3.0,-2.0
ENO,0.0759493670886076,1.0,0.06666666666666667,0.07878787878787878,0.018181818181818184,0.25,0.75,0.6666666666666667,18.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0
PYK,0.3080168776371308,1.0,0.06666666666666667,0.41212121212121205,0.018181818181818184,0.25,0.75,0.6666666666666667,73.0,2.0,2.0,10.46153846153846,2.0,2.0,3.0,2.0
LDH_L,0.0,-1.0,0.0,0.0,0.0,-0.25,-0.75,-0.6666666666666667,0.0,-2.0,0.0,0.0,0.0,-2.0,-3.0,-2.0
G6PDH2r,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
PGL,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
GND,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
RPI,0.0,0.0,0.0,0.0,0.0,-0.25,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,0.0
RPE,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0
TKT1,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
TKT2,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
TALA,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
SPODM,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
GTHPi,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
GTHOr,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
PEPtm,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.461538461538462,0.0,0.0,0.0,0.0
Htm,0.0,0.0,0.7333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0
PItm,0.5400843881856541,0.0,0.7999999999999999,0.41212121212121205,0.018181818181818184,0.0,0.0,0.0,128.0,0.0,23.999999999999996,10.46153846153846,2.0,0.0,0.0,0.0
EX_glc__D_c,-0.0379746835443038,-0.5,-0.03333333333333333,-0.03939393939393939,-0.009090909090909092,-0.375,-1.0,-0.33333333333333337,-9.0,-1.0,-1.0,-1.0,-1.0,-3.0,-4.0,-1.0
EX_h2o_c,0.2278481012658228,0.0,0.19999999999999998,0.23636363636363636,0.05454545454545455,1.0,0.75,0.0,54.0,0.0,5.999999999999999,6.0,6.0,8.0,3.0,0.0
EX_h_c,0.0,1.0,0.0,0.0,0.0,-0.75,0.75,0.6666666666666667,0.0,2.0,0.0,0.0,0.0,-6.0,3.0,2.0
EX_pi_c,0.0,0.0,0.0,0.0,0.0,-0.25,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-3.0,0.0
