rxn,0,1,2
HEX1,1.000000002,0,1.000000002
PGI,1.000000002,0,1.000000002
FBP,0,0,0.999999999
PFK,1.000000002,0,3
FBA,1.000000002,0,1.000000002
TPI,1.000000002,0,1.000000002
GAPD,0.999999999,0,0.999999999
PGK,-0.999999999,0,-0.999999999
PGM,-0.999999999,0,-0.999999999
ENO,0.999999999,0,0.999999999
PYK,0.999999999,0,0.999999999
LDH_L,0,0.5,0
ATPM,0.999999999,0,0
DM_nadh,0.999999999,1.5,0.999999999
EX_glc__D_c,-1.000000002,0,-1.000000002
EX_pyr_c,0.999999999,1.5,0.999999999
EX_h_c,1,1,1
EX_lac__L_c,0,-0.5,0
