,0,1,2
HEX1,0.16666666666666666,0.0,0.0
PGI,0.16666666666666666,0.0,0.0
PFK,0.16666666666666666,0.0,0.0
FBA,0.16666666666666666,0.0,0.0
TPI,0.16666666666666666,0.0,0.0
GAPD,0.3333333333333333,0.0,0.0
PGK,0.3333333333333333,0.0,0.0
PGM,0.3333333333333333,0.0,0.0
ENO,0.3333333333333333,0.0,0.0
PYK,0.3333333333333333,0.0,0.0
LDH_L,0.0,0.0,0.5
DM_amp_c,0.0,1.0,0.0
SK_pyr_c,0.3333333333333333,0.0,-0.5
SK_lac__L_c,0.0,0.0,0.5
ATPM,0.3333333333333333,0.0,0.0
DM_nadh,0.3333333333333333,0.0,-0.5
SK_glc__D_c,0.16666666666666666,0.0,0.0
SK_amp_c,0.0,1.0,0.0
SK_h_c,1.0,0.0,-1.0
